Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Units_Sold_new
Foot Locker,1185732,05/06/2021,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$45.00 ,175,"7,875","$2,756 ",In-store,175
Foot Locker,1185732,05/06/2021,Northeast,Rhode Island,Providence,Men's Apparel,$50.00 ,175,"8,750","$2,625 ",In-store,175
Sports Direct,1185732,3/13/2021,Northeast,Massachusetts,Boston,Men's Athletic Footwear,$40.00 ,175,"7,000","$2,100 ",In-store,175
Sports Direct,1185732,5/13/2021,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$45.00 ,175,"7,875","$1,969 ",In-store,175
Sports Direct,1185732,8/14/2021,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$45.00 ,175,"7,875","$1,969 ",In-store,175
Amazon,1185732,1/14/2021,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$40.00 ,175,"7,000","$2,450 ",In-store,175
Amazon,1185732,1/21/2021,Northeast,Vermont,Burlington,Women's Athletic Footwear,$45.00 ,175,"7,875","$2,363 ",In-store,175
Amazon,1185732,4/18/2021,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,$45.00 ,175,"7,875","$2,363 ",In-store,175
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$34.00 ,175,595,$327 ,Online,175
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,$34.00 ,175,595,$357 ,Online,175
Walmart,1197831,09/09/2020,South,Texas,Houston,Men's Apparel,$44.00 ,175,770,$331 ,Online,175
West Gear,1128299,11/04/2020,South,Texas,Houston,Women's Athletic Footwear,$48.00 ,175,840,$336 ,Online,175
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,$58.00 ,175,"1,015",$305 ,Online,175
West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,$59.00 ,175,"1,033",$620 ,Online,175
Kohl's,1189833,04/09/2021,West,California,Los Angeles,Women's Street Footwear,$49.00 ,175,858,$472 ,Online,175
Kohl's,1189833,4/22/2021,West,California,Los Angeles,Women's Athletic Footwear,$44.00 ,175,770,$370 ,Online,175
Kohl's,1189833,5/16/2021,West,California,Los Angeles,Women's Athletic Footwear,$48.00 ,175,840,$378 ,Online,175
Sports Direct,1197831,8/30/2021,South,Texas,Dallas,Men's Athletic Footwear,$28.00 ,175,490,$235 ,Online,175
Sports Direct,1197831,09/06/2021,South,Texas,Dallas,Women's Street Footwear,$24.00 ,175,420,$197 ,Online,175
West Gear,1128299,07/03/2020,West,Washington,Seattle,Women's Street Footwear,$78.00 ,175,"1,365",$478 ,Online,175
Foot Locker,1185732,08/09/2020,West,Washington,Seattle,Women's Athletic Footwear,$38.00 ,175,665,$266 ,Online,175
Foot Locker,1185732,8/21/2020,Southeast,Florida,Miami,Women's Athletic Footwear,$36.00 ,175,630,$252 ,Online,175
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Women's Athletic Footwear,$49.00 ,175,858,$369 ,Online,175
Sports Direct,1197831,9/18/2021,South,Alabama,Birmingham,Men's Street Footwear,$51.00 ,175,893,$536 ,Online,175
Sports Direct,1197831,10/08/2021,South,Alabama,Birmingham,Women's Street Footwear,$64.00 ,175,"1,120",$694 ,Online,175
Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Men's Athletic Footwear,$54.00 ,175,945,$359 ,Online,175
West Gear,1185732,06/10/2021,Northeast,New York,Albany,Men's Athletic Footwear,$54.00 ,175,945,$454 ,Online,175
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Women's Apparel,$87.00 ,175,"1,523",$685 ,Online,175
Foot Locker,1128299,12/22/2021,West,Arizona,Phoenix,Men's Athletic Footwear,$49.00 ,175,858,$463 ,Online,175
Kohl's,1128299,8/26/2021,West,New Mexico,Albuquerque,Men's Street Footwear,$56.00 ,175,980,$490 ,Online,175
Sports Direct,1128299,8/13/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$58.00 ,175,"1,015",$528 ,Online,175
Foot Locker,1185732,09/05/2021,Southeast,South Carolina,Charleston,Men's Apparel,$48.00 ,175,840,$386 ,Online,175
Sports Direct,1185732,09/02/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,$28.00 ,175,490,$250 ,Online,175
Sports Direct,1185732,06/05/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,$50.00 ,175,875,$481 ,Online,175
Foot Locker,1185732,11/27/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,$49.00 ,175,858,$489 ,Outlet,175
Foot Locker,1128299,5/25/2021,Southeast,Virginia,Richmond,Men's Street Footwear,$39.00 ,175,683,$273 ,Outlet,175
West Gear,1128299,2/17/2021,West,Oregon,Portland,Men's Street Footwear,$24.00 ,175,420,$189 ,Outlet,175
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Street Footwear,$33.00 ,175,578,$243 ,Outlet,175
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,$40.00 ,175,700,$301 ,Outlet,175
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Men's Street Footwear,$40.00 ,175,700,$266 ,Outlet,175
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,$33.00 ,175,578,$243 ,Outlet,175
Amazon,1185732,07/10/2021,Northeast,Vermont,Burlington,Women's Apparel,$49.00 ,175,858,$403 ,Outlet,175
Sports Direct,1197831,08/03/2020,South,Texas,Houston,Women's Athletic Footwear,$37.00 ,174,644,$373 ,Online,174
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,$58.00 ,174,"1,009",$434 ,Online,174
Kohl's,1189833,04/12/2021,West,California,Los Angeles,Women's Apparel,$62.00 ,174,"1,079",$356 ,Online,174
Kohl's,1189833,5/17/2021,West,California,Los Angeles,Men's Apparel,$56.00 ,174,974,$663 ,Online,174
Kohl's,1189833,5/23/2021,West,California,Los Angeles,Men's Apparel,$55.00 ,174,957,$660 ,Online,174
Sports Direct,1197831,9/13/2021,South,Texas,Dallas,Women's Athletic Footwear,$43.00 ,174,748,$412 ,Online,174
West Gear,1128299,02/06/2020,West,Nevada,Las Vegas,Women's Apparel,$73.00 ,174,"1,270",$508 ,Online,174
West Gear,1128299,02/08/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,$61.00 ,174,"1,061",$382 ,Online,174
West Gear,1128299,2/19/2020,West,Nevada,Las Vegas,Men's Street Footwear,$56.00 ,174,974,$468 ,Online,174
West Gear,1128299,7/14/2020,West,Washington,Seattle,Men's Athletic Footwear,$71.00 ,174,"1,235",$432 ,Online,174
Sports Direct,1197831,04/12/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,$36.00 ,174,626,$382 ,Online,174
Sports Direct,1197831,05/11/2021,South,Tennessee,Knoxville,Women's Street Footwear,$50.00 ,174,870,$487 ,Online,174
Sports Direct,1197831,08/08/2021,South,Alabama,Birmingham,Men's Athletic Footwear,$33.00 ,174,574,$310 ,Online,174
Amazon,1185732,12/20/2021,West,Alaska,Anchorage,Men's Street Footwear,$69.00 ,174,"1,201",$564 ,Online,174
West Gear,1128299,12/16/2021,Southeast,Florida,Orlando,Women's Street Footwear,$75.00 ,174,"1,305",$522 ,Online,174
West Gear,1185732,02/10/2021,Southeast,Florida,Orlando,Women's Street Footwear,$33.00 ,174,574,$212 ,Online,174
Kohl's,1185732,02/12/2021,West,Wyoming,Cheyenne,Women's Apparel,$38.00 ,174,661,$258 ,Online,174
Kohl's,1185732,09/10/2021,West,Wyoming,Cheyenne,Women's Apparel,$52.00 ,174,905,$362 ,Online,174
Kohl's,1185732,10/12/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,$44.00 ,174,766,$306 ,Online,174
Foot Locker,1185732,12/10/2021,West,Wyoming,Cheyenne,Women's Apparel,$56.00 ,174,974,$351 ,Online,174
Sports Direct,1185732,9/15/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,$37.00 ,174,644,$328 ,Online,174
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,$32.00 ,174,557,$278 ,Online,174
West Gear,1185732,05/12/2021,West,Utah,Salt Lake City,Men's Street Footwear,$32.00 ,174,557,$284 ,Online,174
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Women's Apparel,$81.00 ,174,"1,409",$677 ,Online,174
Foot Locker,1197831,02/04/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,$32.00 ,174,557,$234 ,Online,174
West Gear,1197831,06/04/2021,West,Idaho,Boise,Women's Street Footwear,$47.00 ,174,818,$393 ,Online,174
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Street Footwear,$23.00 ,174,400,$216 ,Online,174
Sports Direct,1197831,10/19/2021,South,Texas,Dallas,Women's Athletic Footwear,$59.00 ,173,"1,021",$633 ,Online,173
Kohl's,1189833,01/09/2021,Midwest,Montana,Billings,Men's Street Footwear,$32.00 ,173,554,$304 ,Online,173
Kohl's,1189833,2/27/2021,Midwest,Montana,Billings,Men's Athletic Footwear,$42.00 ,173,727,$298 ,Online,173
Sports Direct,1197831,05/03/2021,South,Tennessee,Knoxville,Men's Street Footwear,$33.00 ,173,571,$325 ,Online,173
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,173,260,$145 ,Online,173
Sports Direct,1197831,09/09/2021,South,Alabama,Birmingham,Women's Athletic Footwear,$44.00 ,173,761,$563 ,Online,173
Amazon,1185732,2/22/2021,West,Alaska,Anchorage,Men's Street Footwear,$51.00 ,173,882,$415 ,Online,173
Walmart,1128299,5/18/2021,Southeast,Florida,Orlando,Women's Apparel,$67.00 ,173,"1,159",$672 ,Online,173
Sports Direct,1185732,7/15/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$46.00 ,173,796,$358 ,Online,173
Sports Direct,1185732,9/15/2021,Midwest,Michigan,Detroit,Women's Apparel,$48.00 ,173,830,$540 ,Online,173
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Street Footwear,$28.00 ,173,484,$247 ,Online,173
West Gear,1128299,11/24/2021,West,Oregon,Portland,Men's Street Footwear,$44.00 ,173,761,$350 ,Online,173
West Gear,1128299,12/23/2021,West,Oregon,Portland,Women's Apparel,$77.00 ,173,"1,332",$533 ,Online,173
Sports Direct,1197831,10/04/2021,West,Idaho,Boise,Men's Athletic Footwear,$37.00 ,173,640,$346 ,Online,173
Sports Direct,1128299,07/12/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$51.00 ,173,882,$450 ,Online,173
Sports Direct,1128299,11/13/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$58.00 ,173,"1,003",$542 ,Online,173
Sports Direct,1185732,01/06/2021,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$29.00 ,173,502,$276 ,Online,173
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Women's Apparel,$32.00 ,173,554,$360 ,Online,173
Amazon,1185732,07/09/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$51.00 ,173,882,$450 ,Online,173
Amazon,1185732,09/09/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,$47.00 ,173,813,$382 ,Online,173
Amazon,1185732,5/17/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,$64.00 ,173,"1,107",$587 ,Online,173
Foot Locker,1185732,2/22/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,$52.00 ,173,900,$405 ,Online,173
West Gear,1128299,11/05/2020,West,California,San Francisco,Men's Apparel,$38.00 ,173,657,$355 ,Outlet,173
Kohl's,1189833,04/10/2021,West,California,Los Angeles,Women's Athletic Footwear,$31.00 ,173,536,$204 ,Outlet,173
West Gear,1128299,01/08/2020,West,Nevada,Las Vegas,Men's Street Footwear,$27.00 ,173,467,$201 ,Outlet,173
Sports Direct,1197831,9/19/2021,South,Alabama,Birmingham,Men's Athletic Footwear,$36.00 ,173,623,$343 ,Outlet,173
Sports Direct,1197831,9/25/2021,South,Alabama,Birmingham,Men's Athletic Footwear,$23.00 ,173,398,$219 ,Outlet,173
Walmart,1128299,5/18/2021,Southeast,Florida,Orlando,Women's Apparel,$48.00 ,173,830,$390 ,Outlet,173
Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Women's Street Footwear,$44.00 ,173,761,$282 ,Outlet,173
Foot Locker,1128299,10/24/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,$39.00 ,173,675,$256 ,Outlet,173
Foot Locker,1128299,11/24/2021,Southeast,Virginia,Richmond,Men's Street Footwear,$34.00 ,173,588,$247 ,Outlet,173
West Gear,1128299,5/25/2021,West,Oregon,Portland,Women's Apparel,$46.00 ,173,796,$286 ,Outlet,173
West Gear,1197831,07/06/2021,West,Idaho,Boise,Men's Apparel,$43.00 ,173,744,$298 ,Outlet,173
Kohl's,1128299,2/26/2021,West,Arizona,Phoenix,Men's Street Footwear,$27.00 ,173,467,$187 ,Outlet,173
Sports Direct,1128299,12/25/2021,West,New Mexico,Albuquerque,Women's Apparel,$56.00 ,173,969,$262 ,Outlet,173
Sports Direct,1128299,07/12/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$37.00 ,173,640,$294 ,Outlet,173
Sports Direct,1128299,10/13/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$34.00 ,173,588,$271 ,Outlet,173
Sports Direct,1128299,10/13/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$34.00 ,173,588,$247 ,Outlet,173
Sports Direct,1128299,11/13/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$36.00 ,173,623,$262 ,Outlet,173
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,$20.00 ,173,346,$163 ,Outlet,173
Foot Locker,1185732,12/03/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,$45.00 ,173,779,$327 ,Outlet,173
Foot Locker,1185732,07/06/2021,Northeast,Rhode Island,Providence,Men's Street Footwear,$38.00 ,173,657,$250 ,Outlet,173
Sports Direct,1185732,5/13/2021,Northeast,Massachusetts,Boston,Men's Street Footwear,$41.00 ,173,709,$255 ,Outlet,173
Amazon,1185732,1/21/2021,Northeast,Vermont,Burlington,Men's Street Footwear,$34.00 ,173,588,$253 ,Outlet,173
West Gear,1128299,1/20/2020,West,Nevada,Las Vegas,Men's Street Footwear,$41.00 ,171,701,$294 ,Outlet,171
West Gear,1128299,1/26/2020,West,Nevada,Las Vegas,Men's Street Footwear,$43.00 ,171,735,$353 ,Outlet,171
West Gear,1128299,02/09/2020,West,Nevada,Las Vegas,Women's Street Footwear,$47.00 ,171,804,$362 ,Outlet,171
West Gear,1128299,2/25/2020,West,Nevada,Las Vegas,Men's Street Footwear,$47.00 ,171,804,$321 ,Outlet,171
Sports Direct,1128299,3/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,$35.00 ,171,599,$203 ,Outlet,171
Walmart,1128299,4/17/2021,Southeast,Florida,Orlando,Men's Street Footwear,$47.00 ,171,804,$289 ,Outlet,171
West Gear,1128299,7/23/2021,West,Oregon,Portland,Women's Athletic Footwear,$61.00 ,171,"1,043",$428 ,Outlet,171
Kohl's,1128299,7/25/2021,West,New Mexico,Albuquerque,Women's Street Footwear,$39.00 ,171,667,$247 ,Outlet,171
Kohl's,1128299,10/26/2021,West,New Mexico,Albuquerque,Men's Street Footwear,$35.00 ,171,599,$221 ,Outlet,171
Foot Locker,1185732,11/21/2021,Northeast,Maryland,Baltimore,Women's Street Footwear,$50.00 ,170,"8,500","$2,975 ",In-store,170
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,$51.00 ,170,867,$468 ,Outlet,170
Foot Locker,1185732,11/21/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,$49.00 ,170,833,$475 ,Outlet,170
West Gear,1128299,02/12/2020,West,Nevada,Las Vegas,Women's Apparel,$61.00 ,170,"1,037",$280 ,Outlet,170
West Gear,1128299,3/14/2020,West,Nevada,Las Vegas,Women's Apparel,$56.00 ,170,952,$171 ,Outlet,170
Sports Direct,1197831,3/15/2021,South,Tennessee,Knoxville,Women's Apparel,$24.00 ,170,408,$216 ,Outlet,170
Sports Direct,1197831,3/30/2021,South,Tennessee,Knoxville,Women's Street Footwear,$15.00 ,170,255,$112 ,Outlet,170
Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,$47.00 ,170,799,$272 ,Outlet,170
West Gear,1185732,01/12/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,$30.00 ,170,510,$189 ,Outlet,170
Sports Direct,1185732,2/17/2021,Southeast,Virginia,Richmond,Women's Street Footwear,$17.00 ,170,289,$104 ,Outlet,170
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$22.00 ,170,374,$157 ,Outlet,170
West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Women's Apparel,$29.00 ,170,493,$256 ,Outlet,170
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Men's Street Footwear,$36.00 ,170,612,$257 ,Outlet,170
Kohl's,1128299,11/26/2021,West,New Mexico,Albuquerque,Women's Apparel,$56.00 ,170,952,$286 ,Outlet,170
West Gear,1197831,12/19/2021,South,Arkansas,Little Rock,Women's Apparel,$55.00 ,170,935,$421 ,Outlet,170
Sports Direct,1185732,09/03/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,$43.00 ,170,731,$344 ,Outlet,170
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,$41.00 ,169,693,$312 ,Online,169
Walmart,1197831,09/03/2020,South,Texas,Houston,Men's Apparel,$41.00 ,169,693,$277 ,Online,169
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,$42.00 ,169,710,$319 ,Online,169
Kohl's,1189833,3/15/2021,West,California,Los Angeles,Women's Street Footwear,$44.00 ,169,744,$372 ,Online,169
Kohl's,1189833,3/21/2021,West,California,Los Angeles,Women's Street Footwear,$42.00 ,169,710,$390 ,Online,169
Kohl's,1189833,4/14/2021,West,California,Los Angeles,Men's Athletic Footwear,$47.00 ,169,794,$278 ,Online,169
Kohl's,1189833,05/04/2021,West,California,Los Angeles,Women's Athletic Footwear,$47.00 ,169,794,$381 ,Online,169
Kohl's,1189833,5/21/2021,West,California,Los Angeles,Women's Street Footwear,$47.00 ,169,794,$397 ,Online,169
Sports Direct,1197831,8/24/2021,South,Texas,Dallas,Men's Athletic Footwear,$39.00 ,169,659,$330 ,Online,169
Sports Direct,1197831,10/05/2021,South,Texas,Dallas,Men's Athletic Footwear,$38.00 ,169,642,$328 ,Online,169
West Gear,1185732,8/15/2020,Southeast,Florida,Miami,Women's Athletic Footwear,$38.00 ,169,642,$283 ,Online,169
Kohl's,1189833,1/27/2021,Midwest,Montana,Billings,Men's Street Footwear,$36.00 ,169,608,$359 ,Online,169
Sports Direct,1197831,3/16/2021,South,Tennessee,Knoxville,Men's Street Footwear,$24.00 ,169,406,$203 ,Online,169
Sports Direct,1197831,3/28/2021,South,Tennessee,Knoxville,Men's Street Footwear,$19.00 ,169,321,$161 ,Online,169
Sports Direct,1197831,04/11/2021,South,Tennessee,Knoxville,Women's Street Footwear,$36.00 ,169,608,$310 ,Online,169
Sports Direct,1197831,4/28/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,$47.00 ,169,794,$477 ,Online,169
Sports Direct,1197831,5/14/2021,South,Tennessee,Knoxville,Women's Apparel,$59.00 ,169,997,$708 ,Online,169
Sports Direct,1197831,9/30/2021,South,Alabama,Birmingham,Men's Street Footwear,$18.00 ,169,304,$195 ,Online,169
Sports Direct,1197831,10/01/2021,South,Alabama,Birmingham,Men's Athletic Footwear,$19.00 ,169,321,$196 ,Online,169
Foot Locker,1128299,06/10/2021,West,Hawaii,Honolulu,Women's Apparel,$97.00 ,169,"1,639",$852 ,Online,169
Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Men's Street Footwear,$52.00 ,169,879,$352 ,Online,169
West Gear,1185732,01/12/2021,Southeast,Florida,Orlando,Women's Street Footwear,$32.00 ,169,541,$206 ,Online,169
West Gear,1185732,05/08/2021,Northeast,New York,Albany,Women's Apparel,$59.00 ,169,997,$628 ,Online,169
West Gear,1185732,07/08/2021,Northeast,New York,Albany,Women's Street Footwear,$51.00 ,169,862,$302 ,Online,169
West Gear,1185732,12/08/2021,Northeast,New York,Albany,Men's Athletic Footwear,$51.00 ,169,862,$431 ,Online,169
Foot Locker,1128299,11/24/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,$47.00 ,169,794,$389 ,Online,169
Sports Direct,1185732,6/17/2021,Midwest,Michigan,Detroit,Women's Apparel,$60.00 ,169,"1,014",$659 ,Online,169
Sports Direct,1185732,11/16/2021,Midwest,Michigan,Detroit,Women's Apparel,$59.00 ,169,997,$688 ,Online,169
West Gear,1185732,09/12/2021,West,Utah,Salt Lake City,Men's Street Footwear,$29.00 ,169,490,$255 ,Online,169
West Gear,1128299,6/24/2021,West,Oregon,Portland,Men's Athletic Footwear,$62.00 ,169,"1,048",$513 ,Online,169
Foot Locker,1197831,03/06/2021,West,Idaho,Boise,Men's Athletic Footwear,$36.00 ,169,608,$280 ,Online,169
Foot Locker,1185732,02/07/2021,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$33.00 ,169,558,$251 ,Online,169
Sports Direct,1185732,02/04/2021,Southeast,South Carolina,Charleston,Women's Street Footwear,$23.00 ,169,389,$214 ,Online,169
Sports Direct,1185732,03/02/2021,Southeast,North Carolina,Charlotte,Women's Apparel,$27.00 ,169,456,$283 ,Online,169
Sports Direct,1185732,05/02/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,$37.00 ,169,625,$331 ,Online,169
Sports Direct,1185732,06/04/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,$47.00 ,169,794,$429 ,Online,169
Sports Direct,1185732,06/04/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,$49.00 ,169,828,$422 ,Online,169
Amazon,1185732,12/02/2021,Southeast,North Carolina,Charlotte,Men's Apparel,$65.00 ,169,"1,099",$538 ,Online,169
Amazon,1185732,08/10/2021,Midwest,Ohio,Columbus,Women's Apparel,$54.00 ,169,913,$557 ,Online,169
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Men's Street Footwear,$34.00 ,169,575,$299 ,Online,169
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Men's Street Footwear,$23.00 ,169,389,$210 ,Online,169
Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Women's Apparel,$53.00 ,169,896,$582 ,Online,169
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Men's Street Footwear,$24.00 ,169,406,$211 ,Online,169
Kohl's,1197831,12/19/2021,South,Oklahoma,Oklahoma City,Men's Street Footwear,$64.00 ,169,"1,082",$595 ,Online,169
Amazon,1185732,6/19/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,$59.00 ,169,997,$528 ,Online,169
Foot Locker,1185732,12/17/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,$71.00 ,169,"1,200",$660 ,Online,169
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,$42.00 ,168,706,$282 ,Online,168
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,$45.00 ,168,756,$438 ,Online,168
West Gear,1128299,05/03/2020,West,Colorado,Denver,Men's Athletic Footwear,$69.00 ,168,"1,159",$417 ,Online,168
Walmart,1128299,11/10/2021,West,Hawaii,Honolulu,Men's Athletic Footwear,$56.00 ,168,941,$301 ,Online,168
West Gear,1185732,07/08/2021,Northeast,New York,Albany,Men's Apparel,$62.00 ,168,"1,042",$479 ,Online,168
Kohl's,1185732,1/14/2021,Northeast,New York,Albany,Women's Street Footwear,$29.00 ,168,487,$234 ,Online,168
Kohl's,1185732,06/12/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,$42.00 ,168,706,$289 ,Online,168
Kohl's,1185732,12/10/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,$44.00 ,168,739,$303 ,Online,168
Foot Locker,1185732,12/15/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$48.00 ,168,806,$363 ,Online,168
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,$32.00 ,168,538,$290 ,Online,168
West Gear,1185732,03/10/2021,West,Utah,Salt Lake City,Men's Street Footwear,$29.00 ,168,487,$253 ,Online,168
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,$86.00 ,168,"1,445",$780 ,Online,168
Amazon,1185732,7/21/2021,Southeast,Kentucky,Louisville,Men's Street Footwear,$47.00 ,168,790,$434 ,Online,168
Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$50.00 ,168,840,$403 ,Online,168
Kohl's,1185732,12/13/2021,Northeast,Delaware,Wilmington,Men's Street Footwear,$62.00 ,168,"1,042",$490 ,Online,168
Amazon,1185732,12/10/2021,Northeast,Vermont,Burlington,Men's Street Footwear,$64.00 ,168,"1,075",$645 ,Online,168
Sports Direct,1197831,10/20/2021,South,Texas,Dallas,Men's Apparel,$47.00 ,168,790,$292 ,Outlet,168
Foot Locker,1128299,5/25/2021,Southeast,Virginia,Richmond,Women's Apparel,$44.00 ,168,739,$259 ,Outlet,168
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,$38.00 ,168,638,$300 ,Outlet,168
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Apparel,$55.00 ,168,924,$444 ,Outlet,168
Walmart,1185732,7/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$37.00 ,168,622,$261 ,Outlet,168
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Women's Apparel,$51.00 ,168,857,$488 ,Outlet,168
Amazon,1185732,04/11/2021,Northeast,Vermont,Burlington,Men's Street Footwear,$30.00 ,168,504,$262 ,Outlet,168
Sports Direct,1197831,9/20/2021,South,Texas,Dallas,Men's Apparel,$47.00 ,167,785,$361 ,Online,167
West Gear,1128299,06/07/2020,West,Washington,Seattle,Men's Street Footwear,$46.00 ,167,768,$346 ,Online,167
Kohl's,1189833,2/26/2021,Midwest,Montana,Billings,Men's Street Footwear,$38.00 ,167,635,$374 ,Online,167
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,$42.00 ,167,701,$302 ,Online,167
Sports Direct,1185732,6/17/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,$46.00 ,167,768,$415 ,Online,167
Sports Direct,1185732,10/17/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,$37.00 ,167,618,$315 ,Online,167
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Women's Apparel,$59.00 ,167,985,$443 ,Online,167
West Gear,1197831,05/05/2021,West,Idaho,Boise,Women's Street Footwear,$23.00 ,167,384,$181 ,Online,167
Sports Direct,1197831,10/04/2021,West,Idaho,Boise,Men's Street Footwear,$36.00 ,167,601,$307 ,Online,167
Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Men's Street Footwear,$41.00 ,167,685,$336 ,Online,167
Sports Direct,1185732,11/03/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,$38.00 ,167,635,$343 ,Online,167
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,$24.00 ,167,401,$216 ,Online,167
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Women's Apparel,$74.00 ,167,"1,236",$791 ,Online,167
